SQLITE_SECURE_DELETE,SQLITE_ENABLE_ATOMIC_WRITE,SQLITE_ENABLE_STAT2,SQLITE_DISABLE_LFS,SQLITE_DISABLE_DIRSYNC,SQLITE_OMIT_AUTOMATIC_INDEX,SQLITE_OMIT_BETWEEN_OPTIMIZATION,SQLITE_OMIT_BTREECOUNT,SQLITE_OMIT_LIKE_OPTIMIZATION,SQLITE_OMIT_LOOKASIDE,SQLITE_OMIT_OR_OPTIMIZATION,SQLITE_OMIT_QUICKBALANCE,SQLITE_OMIT_SHARED_CACHE,SQLITE_OMIT_XFER_OPT,overwritebatch,overwritebatch,overwritebatch,overwritebatch
1,0,0,0,0,0,1,1,0,0,0,1,1,0,19.571,19.436,17.612,19.814
1,1,1,1,1,1,1,0,1,0,1,0,0,0,18.992,19.12,17.158,19.377
0,0,0,1,0,1,1,0,1,1,0,0,0,1,19.226,19.219,17.831,19.359
1,0,0,1,1,0,0,1,0,1,1,0,0,0,19.254,19.242,17.846,19.805
1,0,0,1,0,0,1,0,0,0,1,0,1,0,18.801,19.027,17.224,19.472
1,1,1,0,0,1,0,0,0,0,0,1,1,0,19.416,19.77,17.608,20.265
1,1,0,1,1,1,1,0,0,0,1,0,1,1,18.743,18.848,17.166,19.515
1,0,1,1,0,1,0,1,0,1,1,1,1,0,19.884,19.865,18.028,20.189
1,0,1,1,1,0,0,0,1,1,1,1,1,0,19.824,19.966,17.9,20.134
1,0,1,0,0,1,0,0,1,0,1,0,0,0,18.897,19.262,17.272,19.519
0,0,1,0,0,0,1,1,1,1,0,1,1,1,19.696,19.701,17.936,20.061
0,1,1,1,0,1,0,1,1,0,0,0,0,0,19.096,18.922,17.143,19.343
0,0,1,0,0,0,1,1,1,0,1,1,1,1,19.723,19.731,17.783,19.885
0,1,0,0,1,0,0,1,1,0,1,1,0,1,19.832,20.362,17.473,20.374
1,1,1,1,0,1,1,0,1,0,1,1,1,0,19.66,19.549,18.014,20.122
1,1,0,0,1,0,1,1,0,1,1,0,0,1,19.09,19.103,17.573,19.615
1,0,1,1,1,1,0,1,1,1,1,1,1,1,19.581,19.754,17.945,20.238
0,0,1,1,1,0,1,0,1,1,1,1,1,0,19.456,19.743,18.129,19.839
0,1,0,1,1,1,1,1,1,0,1,0,1,1,19.178,18.898,17.103,19.315
0,0,0,0,0,1,1,0,1,1,1,0,1,0,18.995,19.164,17.99,19.761
1,0,0,0,0,0,1,1,0,1,1,0,1,0,19.495,19.188,17.701,19.485
0,0,0,1,0,0,0,0,0,1,0,0,1,1,19.13,18.806,17.691,19.308
1,1,0,1,0,0,1,1,1,0,0,1,1,1,19.954,19.561,17.45,19.996
1,0,0,0,1,1,1,1,0,0,0,1,0,1,19.878,20.059,17.466,20.109
1,0,1,0,1,0,1,1,0,1,0,1,0,0,19.942,20.06,18.069,20.498
1,0,1,0,1,1,0,1,0,1,1,1,0,1,19.771,19.83,18.013,20.335
1,0,1,1,0,0,0,0,1,1,1,1,1,0,20.427,19.988,17.978,20.02
0,0,1,0,1,1,1,0,0,0,0,0,1,0,19.093,19.423,17.123,19.246
0,1,0,1,1,1,1,1,1,1,1,0,1,0,19.264,19.207,17.761,19.435
0,1,0,1,0,0,0,0,0,0,1,0,1,0,19.728,18.901,17.155,19.136
1,0,0,1,0,0,1,1,0,1,1,1,0,1,19.926,20.072,17.993,20.323
0,1,0,0,0,0,0,0,1,1,0,0,0,1,18.789,19.528,17.988,19.448
0,0,1,0,0,1,1,0,1,1,1,1,0,0,19.819,20.042,17.992,20.441
1,0,1,1,0,1,1,1,1,0,0,0,1,1,18.888,19.161,17.038,19.552
0,1,0,0,1,1,1,1,0,0,0,1,1,0,19.525,19.85,17.557,19.71
1,1,0,0,0,0,0,1,1,1,0,1,0,0,19.985,20.191,18.084,20.298
0,0,1,1,0,1,1,1,0,0,0,1,1,0,19.774,19.62,17.618,20.075
1,0,1,0,0,0,1,1,1,0,1,0,0,1,19.203,19.117,17.229,19.559
0,1,1,0,0,1,0,0,0,1,1,0,0,1,19.191,19.283,17.798,19.315
1,1,0,0,0,0,0,0,0,0,0,1,1,1,19.967,19.538,17.584,19.97
1,0,0,1,0,1,0,0,1,0,1,1,0,0,19.846,19.678,17.537,19.933
1,1,1,0,1,0,1,1,0,1,0,0,0,1,19.088,19.409,17.642,19.539
1,1,0,0,1,1,0,1,0,0,0,1,1,1,19.575,19.855,17.575,20.313
1,0,1,1,0,1,1,1,1,1,0,1,0,1,19.838,19.765,18.081,20.537
0,0,0,0,1,0,1,1,1,0,1,0,0,1,19.609,18.861,17.23,19.055
0,1,1,1,0,1,0,1,0,1,1,1,0,1,19.649,20.151,17.963,21.219
0,0,1,0,1,1,0,0,0,0,0,1,1,1,19.721,19.896,17.38,19.828
0,1,0,1,0,1,0,0,1,0,1,1,1,1,19.768,19.607,17.504,19.92
0,1,1,0,0,0,1,1,0,0,0,0,0,1,18.945,19.234,17.196,19.285
0,1,1,1,1,0,1,0,0,0,0,0,0,1,18.926,19.24,17.168,19.135
1,1,1,1,0,1,0,0,1,0,0,1,0,1,19.813,19.366,17.578,19.997
1,0,1,0,0,1,0,1,1,0,1,1,0,0,19.796,19.808,17.499,20.099
1,0,1,0,0,0,0,1,1,0,1,0,1,0,19.178,19.251,17.198,19.272
0,1,1,0,0,1,0,0,1,0,1,0,1,1,18.973,19.109,17.149,19.001
0,0,0,0,0,0,1,0,1,0,1,1,1,0,19.739,19.651,17.497,19.656
0,0,1,0,1,1,1,0,1,0,0,1,0,0,20.046,19.673,17.935,20.3
0,0,1,1,1,0,0,0,1,0,0,1,0,0,20.463,19.806,17.596,20.01
1,0,1,1,1,0,0,1,0,0,1,1,1,0,19.836,19.911,17.508,20.01
0,0,1,0,1,1,0,1,0,1,0,0,1,1,18.982,19.112,17.769,19.152
1,1,0,0,1,0,0,1,1,1,1,0,1,1,19.025,19.146,17.848,19.412
1,1,0,0,1,1,0,1,0,0,0,1,0,1,20.05,19.798,17.634,20.108
1,0,1,1,0,0,0,0,0,1,0,0,1,0,19.109,19.147,17.722,19.494
1,1,0,0,0,1,0,0,1,1,0,0,1,0,19.14,18.896,17.804,19.615
0,1,0,1,1,0,0,0,0,0,0,1,1,0,19.838,19.808,17.496,20.121
1,0,0,1,0,1,0,0,0,0,1,0,0,1,19.047,19.085,17.169,19.208
1,1,1,0,0,1,0,1,1,0,0,0,1,0,19.191,19.01,17.329,19.004
1,0,0,1,0,1,1,0,1,1,1,1,1,1,19.573,19.668,17.89,20.193
1,1,0,1,1,0,1,1,1,1,1,1,1,0,19.787,19.953,18.032,20.607
1,0,0,1,1,1,1,1,0,1,1,0,0,1,19.186,19.301,17.767,19.568
0,0,1,0,1,1,0,0,0,1,0,0,1,0,18.949,19.076,17.597,19.263
1,1,1,1,0,0,0,1,0,0,0,0,0,0,19.032,18.65,17.394,19.363
1,1,1,1,0,0,1,1,0,0,0,0,0,1,19.536,19.033,17.336,19.401
0,1,1,0,0,0,1,1,1,1,0,1,0,1,20.139,20.083,17.963,20.359
0,0,0,1,1,0,1,0,0,0,0,1,1,0,19.918,19.7,17.631,20.064
0,1,0,1,1,0,1,0,1,0,0,0,1,0,19.138,18.938,17.229,19.163
0,0,0,0,1,0,0,1,1,0,1,1,0,1,19.79,19.863,17.588,20.213
1,1,0,0,0,1,1,1,1,1,1,0,0,0,19.24,19.421,17.758,19.802
0,1,0,1,1,1,0,1,0,1,0,0,0,1,18.999,18.918,17.611,19.758
1,0,0,1,0,0,0,1,0,0,1,1,0,0,19.83,19.812,17.768,20.056
0,0,0,1,1,0,1,1,1,0,1,1,0,1,19.766,20.022,17.586,20.186
1,1,0,1,0,0,1,0,0,1,1,0,1,0,19.019,19.43,17.717,19.406
0,0,0,1,0,1,0,1,1,0,1,1,0,1,19.742,19.591,17.581,20.029
1,1,1,0,0,1,1,1,1,1,0,1,1,0,19.741,19.836,18.008,20.186
0,1,0,0,0,1,1,1,0,1,1,0,1,0,18.94,19.125,17.804,19.309
1,1,0,0,0,0,1,1,1,1,1,1,0,1,19.736,19.908,17.95,20.031
1,0,0,1,1,1,1,1,1,0,0,0,1,1,19.077,18.661,17.398,19.331
1,1,0,0,1,0,0,0,0,1,0,0,1,1,19.397,19.143,17.594,19.355
1,0,0,1,1,1,1,1,1,1,1,1,0,1,22.043,19.888,17.973,20.162
1,1,0,0,0,1,0,0,1,1,1,0,1,1,18.798,19.303,17.751,19.211
1,0,1,1,1,0,1,0,0,0,0,1,1,1,19.615,19.633,18.024,20.086
1,1,1,1,1,1,0,0,0,1,1,0,0,0,19.321,19.168,17.809,19.355
0,1,1,1,1,1,0,0,0,1,0,1,1,1,19.678,19.783,17.834,19.959
0,0,1,1,1,1,1,1,1,0,0,0,1,0,18.97,18.912,17.018,19.451
1,0,1,1,1,1,0,1,0,1,1,0,1,0,19.31,19.302,17.653,19.507
0,1,0,1,1,0,0,1,1,0,0,1,0,0,19.752,19.964,17.453,19.854
1,1,0,0,0,1,1,1,1,0,0,0,0,1,19.287,18.966,17.088,19.377
0,0,0,1,1,1,0,1,0,1,0,1,0,1,19.814,19.72,18.066,20.221
0,1,1,1,0,0,1,1,1,1,1,0,0,1,19.273,19.237,17.773,19.46
1,1,1,1,1,1,1,1,1,1,1,1,0,1,19.96,19.983,18.424,20.842
1,1,0,1,1,1,0,0,1,1,1,0,0,0,19.11,19.224,17.604,19.322
0,1,0,1,0,0,1,1,0,1,0,0,0,1,19.082,19.252,17.709,19.692
0,0,1,0,0,0,1,0,0,0,0,1,0,1,19.57,19.565,17.455,20.139
0,1,0,0,1,0,0,1,0,1,0,1,1,0,19.44,19.596,18.134,19.924
0,0,1,0,1,1,1,1,0,0,0,0,1,1,19.007,19.155,17.212,19.292
0,0,0,0,0,0,0,0,1,1,0,0,0,0,19.19,19.276,18.274,19.584
0,0,0,0,0,0,1,1,1,1,0,0,1,0,19.106,18.856,17.649,19.043
1,1,1,1,1,0,1,0,1,0,1,0,0,0,18.951,19.079,17.218,19.469
0,0,1,0,1,1,0,1,0,0,0,0,1,1,18.89,19.281,17.05,19.21
0,0,1,0,0,1,0,0,1,0,0,1,1,0,19.607,19.727,17.955,19.964
1,0,0,0,1,0,0,1,1,0,1,1,1,0,19.757,19.692,17.705,20.247
1,0,0,1,1,0,0,0,0,0,1,0,0,1,19.502,19.209,17.205,19.216
0,0,0,1,0,1,1,0,0,1,0,0,0,0,18.964,19.133,17.645,19.422
0,1,1,1,0,0,0,0,0,1,0,1,0,0,19.864,19.608,17.943,20.361
0,1,1,1,1,0,1,1,1,0,1,0,1,0,18.777,18.965,17.124,19.507
1,0,1,0,0,1,1,0,0,0,0,0,0,0,19.253,19.143,17.379,19.478
1,0,0,0,1,0,0,1,1,1,0,1,1,0,19.729,19.895,18.04,20.177
0,1,1,0,0,0,1,0,0,0,1,1,0,1,19.802,19.663,17.843,19.964
1,0,1,0,1,1,1,0,0,1,1,0,0,0,19.445,19.095,18.125,19.333
1,0,0,1,0,0,1,0,0,1,1,1,0,1,19.808,19.878,17.921,20.266
1,0,0,0,0,0,1,1,1,0,1,0,1,0,19.376,18.87,17.307,19.337
1,1,0,0,0,0,0,1,0,0,1,1,1,0,19.439,20.019,17.681,20.099
0,1,1,1,0,0,1,1,0,1,1,1,1,0,19.336,19.724,17.934,19.924
1,1,0,1,1,0,0,1,0,0,1,1,0,0,19.699,19.545,17.805,20.133
1,1,0,1,0,0,1,0,0,1,1,1,1,1,19.718,19.603,18.066,20.213
0,1,0,0,0,1,0,1,0,1,1,1,1,0,19.657,19.957,18.007,20.174
0,1,1,1,1,0,0,1,0,1,1,0,1,1,19.296,19.512,17.789,19.545
0,0,0,0,0,0,1,0,1,0,1,0,1,1,18.815,18.713,17.335,19.401
0,1,1,1,1,0,0,0,1,0,0,0,0,0,19.186,19.046,17.097,18.991
0,1,1,1,1,1,1,1,0,0,1,0,1,1,18.966,19.027,17.244,19.218
0,1,0,0,1,0,0,1,0,1,0,0,1,1,19.162,19.077,17.65,19.371
1,0,1,0,0,0,0,1,0,0,1,1,0,0,20.043,19.889,17.435,20.301
1,1,0,0,1,0,0,1,0,0,0,0,1,0,19.236,19.067,17.121,19.34
0,1,0,0,1,1,1,0,1,0,1,1,1,1,19.381,19.645,17.489,19.888
1,1,1,0,0,1,0,1,1,0,1,0,0,1,19.262,19.076,17.3,19.631
1,0,0,0,0,0,1,0,1,1,1,0,1,1,18.911,19.238,17.756,19.323
1,0,0,1,1,0,1,1,1,1,1,1,1,1,19.886,19.762,17.977,19.95
1,1,0,1,1,1,0,0,1,1,0,1,0,0,19.893,20.237,18.018,20.585
0,1,1,1,0,0,1,1,1,1,1,0,0,0,18.925,19.15,17.767,19.401
0,0,0,1,0,1,0,1,0,0,1,0,0,0,19.115,19.071,17.237,19.375
1,0,1,0,0,1,1,0,0,1,1,1,1,0,19.781,19.674,18.457,20.018
0,1,1,0,0,0,0,1,1,1,0,0,1,0,19.632,19.208,17.767,19.204
1,0,0,1,0,1,1,0,0,1,1,1,1,1,20.134,20.018,18.091,20.5
1,0,1,0,1,0,0,0,1,1,1,0,1,0,19.215,19.418,17.694,19.229
1,0,1,1,1,1,1,0,0,1,1,1,1,0,19.849,20.045,17.916,20.362
0,1,1,0,1,1,1,1,0,1,0,1,0,0,20.347,19.683,17.875,19.743
0,0,1,0,0,0,0,0,1,0,1,1,0,1,19.457,19.757,17.639,19.984
0,1,1,1,0,0,0,0,0,0,0,1,0,1,19.506,19.9,17.551,20.406
0,0,1,1,0,0,1,0,0,1,0,0,1,0,19.572,19.165,17.641,19.459
0,1,1,0,0,1,1,0,0,1,0,1,0,0,19.478,19.722,17.879,20.151
0,1,0,1,0,0,0,1,0,0,1,1,0,0,19.293,19.492,17.567,20.046
0,0,1,1,0,1,0,1,0,1,0,1,1,1,19.647,19.84,17.971,19.884
1,1,0,0,0,0,1,1,0,1,1,1,1,0,20.033,20.167,18.045,20.181
0,1,1,1,1,0,1,1,1,1,0,0,0,0,18.931,19.214,17.799,19.318
0,1,0,0,0,0,1,0,0,1,1,0,0,0,18.983,18.803,17.549,19.174
1,0,1,0,0,1,0,1,0,0,1,1,1,0,20.114,19.662,17.463,19.866
0,0,1,1,0,1,1,1,0,1,0,0,0,1,19.297,19.165,17.788,19.449
0,0,1,1,0,1,1,0,0,0,0,1,0,0,19.979,19.56,17.517,20.232
1,1,0,1,1,1,1,0,1,1,0,0,0,0,19.431,19.261,17.714,19.314
1,1,0,0,0,0,0,1,0,1,0,1,1,0,19.805,20.165,17.953,20.305
0,0,1,0,0,0,1,0,1,0,0,1,1,0,19.404,20.046,17.864,20.67
0,0,0,0,1,0,0,1,0,1,1,1,1,1,19.855,19.86,18.079,20.134
0,1,0,1,1,1,0,1,0,0,0,1,1,1,19.272,19.302,17.535,19.852
1,0,0,0,1,0,0,0,0,1,0,1,1,1,19.556,19.857,17.887,20.422
1,0,1,1,0,0,0,1,1,0,1,0,1,0,18.773,19.239,17.223,19.4
0,0,1,0,1,1,1,1,0,0,0,0,0,1,19.181,18.915,17.254,19.394
1,0,0,0,0,1,0,0,1,0,0,1,1,0,19.582,19.701,17.654,19.989
1,0,0,0,1,1,1,1,0,1,0,0,0,1,19.167,19.232,17.802,19.51
0,1,1,1,0,0,0,0,0,0,0,0,1,1,19.26,18.701,17.176,19.423
1,1,0,1,0,1,0,1,1,1,0,0,0,0,19.176,19.211,17.801,19.633
0,1,1,1,0,0,0,1,1,1,0,0,0,0,19.289,19.016,17.807,19.405
0,1,1,1,1,1,0,0,1,1,1,1,1,1,19.538,19.469,18.166,19.935
1,0,0,0,0,0,0,0,0,0,1,0,1,0,18.844,18.993,17.323,19.188
0,1,0,1,0,0,0,1,1,1,0,1,0,0,19.874,20.08,17.916,20.047
0,1,0,0,0,0,1,1,1,1,1,0,0,1,18.913,19.203,17.711,19.394
0,0,0,0,0,1,0,0,1,0,0,0,0,1,19.101,18.887,17.217,19.204
1,1,0,1,1,1,0,1,0,0,1,1,1,1,19.98,19.931,17.637,20.209
0,0,1,0,0,1,1,1,0,1,0,1,1,1,20.001,19.894,17.997,20.246
0,0,0,1,1,1,0,0,1,0,1,1,1,0,20.084,19.872,17.612,20.204
0,1,0,0,1,1,0,0,1,0,0,0,0,0,19.361,18.985,17.116,19.369
1,0,0,0,0,1,1,1,0,0,0,1,0,0,19.686,19.6,17.621,19.915
1,1,0,1,0,0,0,1,1,0,0,1,1,1,19.698,20.156,17.452,19.908
1,1,0,0,0,1,1,1,0,0,0,0,1,0,18.692,19.076,17.11,19.406
1,0,0,1,1,0,0,1,1,1,1,1,1,1,20.053,19.665,18.042,20.073
0,1,1,0,1,0,1,1,1,0,0,1,1,1,19.456,19.523,17.602,19.998
0,1,0,1,1,0,1,1,0,0,0,0,1,0,18.796,19.131,17.055,19.506
1,0,0,0,1,1,1,1,1,1,1,0,0,0,19.459,18.855,17.738,19.282
1,0,1,1,0,1,0,1,0,0,1,1,0,1,19.781,19.762,17.58,20.125
1,0,1,0,1,0,0,1,1,0,1,0,0,1,19.111,19.178,17.211,19.178
1,1,1,1,1,1,1,1,1,1,1,0,1,1,19.14,18.937,17.69,19.292
1,1,1,0,1,1,0,0,1,1,0,1,1,1,19.599,19.778,17.928,20.07
0,1,0,1,1,0,0,0,1,0,1,0,0,1,18.846,19.07,17.118,19.347
1,0,1,0,1,1,0,1,1,1,1,0,1,1,18.873,19.097,17.667,19.407
0,0,0,1,1,0,1,1,0,1,1,1,0,0,19.567,19.609,18.031,19.872
1,0,0,0,0,1,0,1,1,0,1,0,0,1,18.916,19.047,17.15,19.417
1,0,1,0,0,1,1,1,1,1,0,0,1,0,19.174,18.887,17.798,19.385
0,0,0,1,0,0,1,1,1,1,1,0,1,1,19.175,19.103,17.936,19.222
0,0,0,0,1,0,1,1,1,1,1,1,0,0,19.975,20.166,17.841,20.145
0,1,1,0,0,0,1,0,1,0,1,0,1,0,18.808,18.631,17.031,19.277
0,1,0,0,1,0,1,0,0,0,1,0,0,0,18.799,19.155,17.19,19.346
1,0,0,1,1,1,0,1,0,1,1,1,1,1,20.256,19.964,17.917,20.299
1,1,0,0,1,0,0,0,1,1,1,1,1,0,19.993,19.688,17.909,20.186
1,1,0,1,0,0,0,0,0,1,0,1,1,1,19.626,19.436,17.942,20.019
0,0,1,1,1,1,1,0,1,1,0,1,1,0,19.44,19.751,17.88,20.315
0,1,1,0,0,0,1,0,1,0,0,0,1,0,18.992,19.207,17.157,19.02
0,1,0,1,1,0,1,1,0,1,1,1,0,0,19.979,19.905,18.045,20.215
0,1,1,0,0,1,0,0,1,1,1,1,1,1,19.583,19.562,17.922,19.99
1,0,1,1,0,1,1,0,1,1,0,1,0,0,19.618,19.876,18.311,20.205
0,1,0,1,0,0,1,1,1,0,1,0,0,1,19.009,18.954,17.187,19.1
1,0,1,1,0,0,1,0,1,0,1,1,1,1,19.829,19.664,17.769,20.207
0,0,1,1,0,1,1,0,1,0,1,0,0,1,19.225,18.927,17.321,19.107
0,0,0,1,1,1,0,1,0,1,0,1,0,1,19.971,19.877,18.193,19.893
1,1,1,0,0,0,0,1,1,1,1,1,0,1,20.06,20.051,17.949,20.516
0,1,0,0,0,1,0,0,1,1,0,0,1,0,19.445,18.969,17.751,19.3
1,0,0,1,1,1,1,0,1,0,0,0,1,1,18.847,19.256,17.212,19.268
1,1,0,1,1,1,1,1,0,1,1,1,1,1,19.748,19.943,18.073,20.092
1,0,1,0,0,1,0,0,1,1,1,0,0,1,19.169,19.221,17.913,19.248
0,1,0,1,1,0,1,1,1,1,1,1,0,0,19.648,19.752,17.993,19.908
1,0,0,1,0,1,0,0,0,1,1,0,0,1,18.872,19.204,17.981,19.567
0,1,0,1,0,1,1,1,0,0,1,1,1,0,19.52,19.497,17.901,20.037
1,0,1,1,0,0,0,1,1,0,1,1,1,1,19.556,19.643,17.559,19.811
1,0,1,1,0,0,0,0,1,0,1,1,1,1,19.879,19.881,17.81,20.031
0,1,1,1,1,0,1,1,0,1,0,1,0,1,19.561,19.846,17.894,20.395
1,1,1,1,1,1,1,0,0,0,0,0,0,1,19.131,18.975,17.243,19.323
1,0,0,0,1,0,0,0,1,1,1,0,0,1,19.101,19.138,17.61,19.397
0,0,0,0,1,0,1,0,1,1,1,0,0,0,19.114,19.453,17.702,19.134
0,1,1,1,0,1,1,1,0,1,1,0,1,0,18.941,18.802,17.689,19.309
0,1,1,0,0,0,1,0,1,0,1,1,1,0,20.658,19.504,17.521,19.661
0,0,0,0,0,1,0,0,0,0,0,1,0,1,19.684,19.776,17.544,19.912
1,1,0,0,0,1,1,1,0,0,1,1,1,0,19.528,19.796,17.473,20.018
1,0,0,0,0,0,1,0,0,0,0,1,0,0,19.874,19.598,17.465,19.924
1,1,0,1,1,1,0,1,0,1,0,1,1,0,19.655,19.435,18.154,20.072
0,1,0,1,1,1,1,0,1,1,1,0,1,1,19.105,19.112,17.704,19.358
0,1,0,1,1,0,0,0,0,0,0,0,0,1,18.865,19.164,17.243,19.296
1,1,0,1,0,0,0,1,1,1,0,0,1,0,19.012,18.949,17.752,19.399
0,1,0,1,1,0,0,0,0,0,1,1,1,0,20.369,19.461,17.848,19.987
0,1,1,1,0,1,1,1,1,1,0,0,1,1,19.353,19.131,17.776,19.933
0,0,1,1,1,0,1,1,0,1,1,0,1,1,19.256,18.845,17.758,19.566
1,1,0,0,0,0,1,0,1,1,0,1,0,1,19.576,19.855,17.912,20.138
0,0,0,0,1,0,1,1,0,0,1,1,1,0,19.653,20.017,17.446,20.316
1,1,0,1,0,0,0,0,0,0,1,0,0,0,19.077,19.113,17.47,19.41
0,1,1,0,0,0,1,1,0,1,0,0,1,0,19.072,19.173,17.7,19.377
1,0,1,1,1,1,0,0,1,0,1,0,0,1,19.121,18.998,17.189,19.246
1,1,1,1,0,0,1,0,1,1,1,1,0,0,19.99,19.751,17.968,19.859
1,0,1,0,0,0,1,1,0,0,0,0,0,0,19.105,19.457,17.214,19.612
1,1,1,0,1,1,0,0,1,0,0,0,0,0,19.43,19.505,17.194,19.442
1,1,0,0,1,1,0,0,1,0,0,1,0,0,20.154,20.256,17.842,20.243
0,0,0,1,1,0,1,0,0,1,0,0,0,0,19.146,19.081,17.723,19.53
0,0,0,0,1,1,0,0,1,0,1,1,0,0,19.513,20.091,17.514,20.012
0,0,1,1,0,0,1,1,1,1,1,0,0,1,18.84,19.169,17.724,19.588
1,0,1,0,0,0,0,1,0,1,0,0,0,0,19.061,19.128,17.75,19.546
0,0,1,0,1,1,0,0,1,0,0,1,1,0,19.504,19.789,17.515,19.829
